,i,distance,angle,mean of wind direction,variance of wind direction,flexible farm base power,flexible farm opt power,flexible_percent_gain,fixed farm base power,fixed farm opt power,fixed_percent_gain,total farm base power,total farm opt power,total_percent_gain,overlap_flag,optimal position
161,161,3400.0,90,0,60.0,128114.95686995215,137551.47055739645,7.365661213954263,123823.4666226703,123076.56504249392,-0.6031987316688705,251938.42349262245,260628.03559989037,3.449101564899799,False,"[[3400.0, 3622.222222222222, 3844.4444444444443, 4066.666666666667, 4288.888888888889, 4511.111111111111, 4733.333333333334, 4955.555555555556, 5177.777777777777, 5400.0, 3400.0, 3400.0, 3410.5749674809717, 4054.285194287233, 4710.976498974405, 4364.542982214537, 5400.0, 4596.416928350438, 5400.0, 5399.5015708560495], [4400.0, 4400.0, 4400.0, 4400.0, 4400.0, 4400.0, 4400.0, 4400.0, 4400.0, 4400.0, 8800.0, 7664.546761883302, 6800.039468636682, 8799.975930106346, 8800.0, 7738.505495103896, 8800.0, 6800.0, 6800.0, 7829.132742810527]]"
162,162,3400.0,90,0,75.0,128176.9661419108,137055.16816455862,6.926519085198461,119833.15895457807,119859.02109126636,0.021581786638946904,248010.1250964889,256914.18925582498,3.5902018741662043,False,"[[3400.0, 3622.222222222222, 3844.4444444444443, 4066.666666666667, 4288.888888888889, 4511.111111111111, 4733.333333333334, 4955.555555555556, 5177.777777777777, 5400.0, 3400.0, 3400.0, 3996.6701721344225, 3400.000000000001, 4153.848809099653, 4673.448047320649, 4945.025509004659, 4831.809999492495, 5400.0, 5400.0], [4400.0, 4400.0, 4400.0, 4400.0, 4400.0, 4400.0, 4400.0, 4400.0, 4400.0, 4400.0, 7790.298446099579, 6800.0, 8799.999999999996, 8800.0, 6800.0, 8800.0, 7956.543575134886, 6800.0, 8800.0, 6800.0]]"
163,163,3400.0,90,0,75.0,124708.0424180731,136825.4836304386,9.716647761772093,121390.14078798094,120373.4398200973,-0.8375482236728017,246098.18320605403,257198.9234505359,4.510695731218538,False,"[[3400.0, 3622.222222222222, 3844.4444444444443, 4066.666666666667, 4288.888888888889, 4511.111111111111, 4733.333333333334, 4955.555555555556, 5177.777777777777, 5400.0, 3400.0, 3844.815503908909, 3400.0000000000005, 4345.959758912157, 4182.5776980202945, 3801.6687232157055, 5399.999999995314, 4872.080538771881, 5400.0, 5400.0], [4400.0, 4400.0, 4400.0, 4400.0, 4400.0, 4400.0, 4400.0, 4400.0, 4400.0, 4400.0, 8800.0, 8800.0, 6800.0, 8800.0, 6800.0, 7676.124947720666, 7652.080144017921, 8800.0, 6800.0, 8800.0]]"
164,164,3400.0,90,0,75.0,130463.16175837326,135505.64502322514,3.8650629011972777,120754.65799796628,119940.70460123532,-0.6740554859131503,251217.81975633954,255446.34962446045,1.6832125492619245,False,"[[3400.0, 3622.222222222222, 3844.4444444444443, 4066.666666666667, 4288.888888888889, 4511.111111111111, 4733.333333333334, 4955.555555555556, 5177.777777777777, 5400.0, 3400.0000000442697, 3403.325632526211, 3686.6369485026667, 4166.959425468154, 3866.473356392595, 4706.438995101156, 4793.763664183831, 4722.102148594922, 5399.999999993411, 5399.995124988687], [4400.0, 4400.0, 4400.0, 4400.0, 4400.0, 4400.0, 4400.0, 4400.0, 4400.0, 4400.0, 8799.998451558968, 6800.000000000032, 7105.374663033875, 7522.251571979382, 8500.538573401089, 8799.999972017782, 6827.848207505105, 8022.744718453992, 8799.999999999998, 6856.872291229441]]"
165,165,3400.0,90,0,90.0,127710.42619459344,136360.04907134076,6.772840037012969,119926.12791071957,119271.20544898357,-0.5461049006965073,247636.55410531303,255631.25452032435,3.2284007681722926,False,"[[3400.0, 3622.222222222222, 3844.4444444444443, 4066.666666666667, 4288.888888888889, 4511.111111111111, 4733.333333333334, 4955.555555555556, 5177.777777777777, 5400.0, 3400.0, 3400.0, 3894.273804099294, 3400.0, 4402.302593216048, 4358.788740235722, 4862.11925607391, 5357.197302029229, 5400.0, 5399.8652327615], [4400.0, 4400.0, 4400.0, 4400.0, 4400.0, 4400.0, 4400.0, 4400.0, 4400.0, 4400.0, 7649.204834832639, 6800.0, 8212.376711093159, 8800.0, 8800.0, 6800.0, 7835.608878489046, 6800.081595607258, 8799.963733270964, 7565.372846922004]]"
166,166,3400.0,90,0,90.0,126430.69845469407,135523.2817339285,7.191752786600903,119634.98182679269,119359.67939324424,-0.23011867377305567,246065.6802814868,254882.96112717272,3.583303789296985,False,"[[3400.0, 3622.222222222222, 3844.4444444444443, 4066.666666666667, 4288.888888888889, 4511.111111111111, 4733.333333333334, 4955.555555555556, 5177.777777777777, 5400.0, 3400.0, 3400.0, 3796.4450630527963, 4372.717168217389, 4771.833540985615, 4314.407356036136, 4882.7448244772095, 5398.538155170993, 5400.0, 5390.02159108349], [4400.0, 4400.0, 4400.0, 4400.0, 4400.0, 4400.0, 4400.0, 4400.0, 4400.0, 4400.0, 6806.55597476519, 8799.999999948195, 8398.810313176466, 6800.00000000003, 7625.460162717266, 7948.934893330076, 8739.262595403105, 6800.000000008997, 8796.46844810637, 7357.2040274390665]]"
167,167,3400.0,90,0,90.0,129315.2130466228,135919.85685389888,5.107398929849706,119821.67841697168,119425.86824151903,-0.330332691614671,249136.89146359448,255345.72509541787,2.492137392960395,False,"[[3400.0, 3622.222222222222, 3844.4444444444443, 4066.666666666667, 4288.888888888889, 4511.111111111111, 4733.333333333334, 4955.555555555556, 5177.777777777777, 5400.0, 3400.0, 3400.0, 3804.1723171599238, 3723.8015088697744, 4335.504158187828, 4503.506288847642, 4848.991771252878, 5400.0, 5400.0, 5399.988951242978], [4400.0, 4400.0, 4400.0, 4400.0, 4400.0, 4400.0, 4400.0, 4400.0, 4400.0, 4400.0, 7369.930328946185, 8799.999999895717, 8231.82845451382, 6800.0, 7564.873443825772, 8800.0, 6800.1463938796705, 8800.0, 7872.981679618672, 6800.0]]"
168,168,3600.0,90,0,0.0,148102.8165045498,112579.4532594349,-23.985609513390717,127295.49959036347,132735.12740839686,4.273228696645282,275398.3160949132,245314.58066783176,-10.92371800004522,False,"[[3600.0, 3822.222222222222, 4044.4444444444443, 4266.666666666667, 4488.888888888889, 4711.111111111111, 4933.333333333334, 5155.555555555556, 5377.777777777777, 5600.0, 3600.0, 3600.0, 3600.0, 4053.443245133864, 4600.4123284254865, 4555.854658589425, 5600.0, 5080.170537998037, 5600.0, 5600.0], [4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 7200.0, 8010.193256897791, 9200.0, 9200.0, 7200.0, 9200.0, 7200.0, 9200.0, 8087.645766083357, 9200.0]]"
169,169,3600.0,90,0,0.0,148041.4171892701,120773.37490948071,-18.419198355097723,128207.93974529403,130638.63526782724,1.8959009304432928,276249.35693456413,251412.010177308,-8.99091568315919,False,"[[3600.0, 3822.222222222222, 4044.4444444444443, 4266.666666666667, 4488.888888888889, 4711.111111111111, 4933.333333333334, 5155.555555555556, 5377.777777777777, 5600.0, 3600.0, 3600.0, 3600.0, 4255.226453806709, 4265.118091487653, 4964.437157490793, 4842.530532010987, 5270.7252489538205, 5599.9987707871405, 5600.0], [4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 7200.0, 9200.0, 8187.33437687099, 7647.031284610036, 9200.0, 9200.0, 7200.028174932897, 8214.235977825552, 7200.098539144284, 9200.0]]"
170,170,3600.0,90,0,0.0,148072.1087883137,129542.79149023727,-12.513712035104623,129398.7343586758,130954.92044986218,1.2026285256182176,277470.84314698953,260497.71194009949,-6.117086398839596,False,"[[3600.0, 3822.222222222222, 4044.4444444444443, 4266.666666666667, 4488.888888888889, 4711.111111111111, 4933.333333333334, 5155.555555555556, 5377.777777777777, 5600.0, 3649.1829278667074, 3600.0, 3600.0, 4043.623215515258, 4567.652507409976, 4818.629852981532, 5600.0, 5411.226539744314, 5088.1722167320595, 5600.0], [4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 7200.0, 7919.021009627596, 9200.0, 9200.0, 9200.0, 8239.351769957324, 7200.0, 7713.6048561415555, 9200.0, 9200.0]]"
171,171,3600.0,90,0,15.0,137776.51592237756,135387.21191144196,-1.7341881487856121,135964.6477726321,134781.46574576283,-0.8702129901059672,273741.1636950097,270168.6776572048,-1.3050598563923785,False,"[[3600.0, 3822.222222222222, 4044.4444444444443, 4266.666666666667, 4488.888888888889, 4711.111111111111, 4933.333333333334, 5155.555555555556, 5377.777777777777, 5600.0, 3600.0, 3600.0, 3778.736737518717, 4452.807477086454, 4235.574320314612, 4581.422072767771, 4901.591602151178, 5534.967416681517, 5596.53390629736, 5600.0], [4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 7200.0, 9200.0, 7931.9420495111935, 7200.0, 9200.0, 8514.906195104759, 7913.910510385358, 7200.0, 7896.934774952344, 9200.0]]"
172,172,3600.0,90,0,15.0,135718.92213121257,134517.84172318352,-0.8849763829304909,135597.64253037763,136086.1032112176,0.36022800376527647,271316.5646615902,270603.94493440114,-0.2626524952790525,False,"[[3600.0, 3822.222222222222, 4044.4444444444443, 4266.666666666667, 4488.888888888889, 4711.111111111111, 4933.333333333334, 5155.555555555556, 5377.777777777777, 5600.0, 3600.0, 3600.0, 3600.0, 4266.1523046216, 4467.444250764696, 4599.63266674945, 4949.0989021979785, 5600.0, 5600.0, 5600.0], [4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 9200.0, 7200.0, 8045.028481276173, 9200.0, 8033.461300983719, 7200.0, 9200.0, 8049.58341067198, 7200.0, 9200.0]]"
173,173,3600.0,90,0,15.0,136990.90300969293,136741.19724111183,-0.18227908795041176,134633.51807474488,134522.35382505096,-0.08256803453074833,271624.42108443787,271263.5510661628,-0.13285624938814547,False,"[[3600.0, 3822.222222222222, 4044.4444444444443, 4266.666666666667, 4488.888888888889, 4711.111111111111, 4933.333333333334, 5155.555555555556, 5377.777777777777, 5600.0, 3600.000000000954, 3600.8430158414417, 3600.0044606152746, 4139.705336106549, 4319.521308574526, 4360.682809507136, 5000.574430104786, 5027.355891837577, 5599.999650491618, 5599.790615281339], [4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 8237.46101049598, 7222.103401199374, 9199.999999975778, 7906.694696822882, 9199.999999999505, 7200.000000001402, 9199.731944138617, 7200.000000000095, 9199.964629221726, 7200.000000000987]]"
174,174,3600.0,90,0,30.0,134181.82653566863,136641.77985797543,1.8332984322976753,136951.86644253234,136368.67581364486,-0.42583620365056685,271133.69297820097,273010.4556716203,0.6921908792686436,False,"[[3600.0, 3822.222222222222, 4044.4444444444443, 4266.666666666667, 4488.888888888889, 4711.111111111111, 4933.333333333334, 5155.555555555556, 5377.777777777777, 5600.0, 3600.0, 3600.0, 4169.285493798708, 4316.581603372086, 4108.365729845928, 4563.945837545599, 4865.904267006798, 5250.657196971621, 5600.0, 5600.0], [4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 7200.0, 9200.0, 7200.0, 7865.818312406496, 9200.0, 8527.629761063306, 9200.0, 7674.798436594207, 9200.0, 7200.0387253522695]]"
175,175,3600.0,90,0,30.0,134035.55737306387,137616.4300457926,2.6715841250706434,136076.5491551517,136705.62983008978,0.4622991094672799,270112.10652821563,274322.0598758824,1.5585948374465044,False,"[[3600.0, 3822.222222222222, 4044.4444444444443, 4266.666666666667, 4488.888888888889, 4711.111111111111, 4933.333333333334, 5155.555555555556, 5377.777777777777, 5600.0, 3600.0, 3600.0, 3600.0, 4260.168964166306, 4362.65343627386, 5599.999999999998, 4946.131314613012, 4804.760293995721, 5600.0, 5600.0], [4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 7200.0, 9200.0, 8144.509965633357, 9200.0, 7200.0, 7200.0, 9200.0, 7983.455381899363, 7902.023423364184, 9200.0]]"
176,176,3600.0,90,0,30.0,129617.79455382725,136277.2398688784,5.137755458634676,138168.6436302846,137130.01753544982,-0.7517089750218403,267786.43818411184,273407.2574043282,2.098993234434026,False,"[[3600.0, 3822.222222222222, 4044.4444444444443, 4266.666666666667, 4488.888888888889, 4711.111111111111, 4933.333333333334, 5155.555555555556, 5377.777777777777, 5600.0, 3600.000001354853, 3659.8174455255876, 3627.251026369115, 4566.016180352893, 3646.209481709166, 4278.085875317814, 4937.761126661022, 5599.999999999994, 5594.923953544972, 5599.999999999985], [4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 9199.99999999645, 7719.025816483383, 7200.000000952466, 7200.000000122757, 8362.60353189614, 9200.0, 9199.999989591273, 9199.99999993017, 7200.000001537237, 8151.623255523849]]"
177,177,3600.0,90,0,45.0,131152.33157057993,138112.67475250768,5.307067818448978,129213.29705356224,129402.53105091873,0.14645086974140045,260365.62862414218,267515.20580342645,2.7459758098889604,False,"[[3600.0, 3822.222222222222, 4044.4444444444443, 4266.666666666667, 4488.888888888889, 4711.111111111111, 4933.333333333334, 5155.555555555556, 5377.777777777777, 5600.0, 3600.0, 3600.0, 3858.7211806739992, 4149.114619616482, 4193.750298823749, 4915.706067114388, 4853.564703382437, 5599.999999985204, 5241.618188451734, 5600.0], [4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 7200.0, 9200.0, 8176.160103367775, 7200.0, 9200.0, 9200.0, 7200.0, 7200.0, 8178.8314775646, 9200.0]]"
178,178,3600.0,90,0,45.0,128625.2598096578,136994.47021385256,6.506661612641004,130385.38461348703,129374.21817560321,-0.7755213062271574,259010.64442314484,266368.6883894558,2.840826863582537,False,"[[3600.0, 3822.222222222222, 4044.4444444444443, 4266.666666666667, 4488.888888888889, 4711.111111111111, 4933.333333333334, 5155.555555555556, 5377.777777777777, 5600.0, 3600.0018439840355, 3600.0, 3600.2507149835856, 4378.32277513176, 4189.515864228682, 4849.706231006503, 5581.198460692972, 5003.968027976968, 5599.821658787924, 5599.64953066691], [4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 8420.40331950006, 7200.0, 9200.0, 7200.0, 7930.706463296433, 8596.851057735337, 9200.0, 7200.000086131906, 8258.231225530104, 7200.0]]"
179,179,3600.0,90,0,45.0,128163.12527431363,137147.39387595368,7.010026154099004,129392.1529044699,129893.33261116962,0.3873339267101806,257555.2781787835,267040.7264871233,3.6828786330503385,False,"[[3600.0, 3822.222222222222, 4044.4444444444443, 4266.666666666667, 4488.888888888889, 4711.111111111111, 4933.333333333334, 5155.555555555556, 5377.777777777777, 5600.0, 3600.0, 3600.0, 3600.0, 4222.5386793663, 4485.283083357596, 4616.029300395279, 4902.666633154673, 5233.123039396766, 5599.999999999999, 5599.9979797505475], [4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 8195.341489991199, 9199.999999999996, 7200.000000012149, 9200.0, 7776.902899104963, 7200.0, 9199.999999999996, 8276.705570117701, 9199.999999999998, 7200.0080418939815]]"
180,180,3600.0,90,0,60.0,130728.11449715553,137539.02629541498,5.20998243144373,123922.14428478324,123301.26406220612,-0.5010244344628897,254650.25878193878,260840.2903576211,2.4307972845937442,False,"[[3600.0, 3822.222222222222, 4044.4444444444443, 4266.666666666667, 4488.888888888889, 4711.111111111111, 4933.333333333334, 5155.555555555556, 5377.777777777777, 5600.0, 3600.0, 3600.0, 3600.0, 4127.454576470767, 4654.595610817699, 4547.625895113851, 4826.133032034608, 5600.0, 5600.0, 5600.0], [4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 8244.639875214107, 7200.0, 9200.0, 7200.0, 8194.175891125065, 9200.0, 7200.0, 9200.0, 7200.0, 8171.803062822114]]"
181,181,3600.0,90,0,60.0,129257.69025395083,136751.2221129343,5.797358628535786,123396.19402147573,123298.47499039827,-0.07919128450627373,252653.88427542654,260049.69710333255,2.927250791776307,False,"[[3600.0, 3822.222222222222, 4044.4444444444443, 4266.666666666667, 4488.888888888889, 4711.111111111111, 4933.333333333334, 5155.555555555556, 5377.777777777777, 5600.0, 3600.0197974389425, 3608.807258491423, 3600.0, 4060.9414438359922, 4451.647804194887, 4821.510739037804, 4640.665973549934, 5600.0, 5599.990586239868, 5600.0], [4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 8567.200164191416, 7200.00261155139, 9200.0, 8065.334353587492, 7599.878324146327, 7200.052898940956, 9200.0, 9200.0, 8188.476175169869, 7200.0]]"
182,182,3600.0,90,0,60.0,129420.67444406835,136953.49092989182,5.820412015453465,123648.7520698176,123552.32035767697,-0.07798842327674328,253069.42651388593,260505.81128756882,2.9384761628939224,False,"[[3600.0, 3822.222222222222, 4044.4444444444443, 4266.666666666667, 4488.888888888889, 4711.111111111111, 4933.333333333334, 5155.555555555556, 5377.777777777777, 5600.0, 3600.0000000000005, 3600.0, 3600.0, 4626.2418927412255, 4098.7155182445795, 4761.739103806162, 5599.999999850487, 5599.999999878019, 4864.726023837894, 5599.99999995554], [4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 9200.0, 7965.596149543154, 7200.0, 9200.0, 8547.605283613568, 7882.76341451638, 9200.0, 8386.089355377335, 7200.011978177804, 7200.0]]"
183,183,3600.0,90,0,75.0,121659.94983603855,136927.26282021814,12.549169225168503,120027.22641531698,120424.45909891916,0.330952147663299,241687.17625135553,257351.72191913732,6.48133091326724,False,"[[3600.0, 3822.222222222222, 4044.4444444444443, 4266.666666666667, 4488.888888888889, 4711.111111111111, 4933.333333333334, 5155.555555555556, 5377.777777777777, 5600.0, 3600.000134216847, 3600.0011317439016, 3600.0, 4355.043077787986, 4305.438916354304, 4261.153830720569, 4949.390567942151, 5049.206015350057, 5600.0, 5599.999483639601], [4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 4600.0, 7871.950987094337, 7200.000517150178, 9200.0, 7200.0, 8290.937161238457, 9199.995035168957, 9200.0, 7200.000000081123, 9200.0, 7200.00000380625]]"
