,i,distance,angle,mean of wind direction,variance of wind direction,flexible farm base power,fixed farm base power,total farm base power,overlap_flag
29,29,2000,225,0,15.0,130683.52907481788,148149.09604613006,278832.62512094795,True
30,30,2000,270,0,15.0,119146.86106403635,148149.09220261275,267295.9532666491,True
31,31,2000,315,0,15.0,130757.82745694967,148149.08831445232,278906.91577140195,True
32,32,2500,0,0,15.0,148149.11595696493,148149.0663798641,296298.18233682896,False
33,33,2500,45,0,15.0,148149.09455863026,138844.3524947079,286993.44705333817,True
34,34,2500,90,0,15.0,148149.09200376368,123605.63114531293,271754.7231490767,False
35,35,2500,135,0,15.0,148149.08936131845,138920.14199845324,287069.23135977174,True
36,36,2500,180,0,15.0,148149.06644643127,148149.11632207068,296298.182768502,True
37,37,2500,225,0,15.0,138837.29024914576,148149.09452392402,286986.3847730698,True
38,38,2500,270,0,15.0,123601.70911612849,148149.0920037637,271750.8011198922,True
39,39,2500,315,0,15.0,138920.28221777247,148149.08952924836,287069.37174702075,True
40,40,3000,0,0,15.0,148149.1021759504,148149.08091885975,296298.18309481017,False
41,41,3000,45,0,15.0,148149.0941196488,143429.13756735332,291578.2316870021,False
42,42,3000,90,0,15.0,148149.09183018852,130130.80849092762,278279.90032111615,False
43,43,3000,135,0,15.0,148149.09003912675,143450.51833732688,291599.6083764537,True
44,44,3000,180,0,15.0,148149.0810889608,148149.10258620555,296298.1836751664,True
45,45,3000,225,0,15.0,143434.86178482094,148149.0938719949,291583.95565681584,True
46,46,3000,270,0,15.0,130127.5912615326,148149.09183018852,278276.68309172115,True
47,47,3000,315,0,15.0,143457.46816732874,148149.09030832656,291606.55847565527,False
48,48,2000,0,0,30.0,145361.38757109968,145319.75842278296,290681.1459938827,False
49,49,2000,45,0,30.0,145532.92093431126,128651.76061888204,274184.6815531933,True
50,50,2000,90,0,30.0,145532.125235604,124372.02449634689,269904.14973195095,False
51,51,2000,135,0,30.0,145531.2563504513,128668.7405108474,274199.99686129874,True
52,52,2000,180,0,30.0,145319.6273193073,145361.39611922923,290681.0234385365,True
53,53,2000,225,0,30.0,128652.17839121926,145532.91020919732,274185.0886004166,True
54,54,2000,270,0,30.0,124369.52185497555,145532.12925245185,269901.6511074274,True
55,55,2000,315,0,30.0,128669.50127335782,145531.21380722415,274200.715080582,True
56,56,2500,0,0,30.0,145505.57813426072,145489.624853516,290995.2029877766,False
57,57,2500,45,0,30.0,145532.7652382633,135263.3829277739,280796.14816603716,True
58,58,2500,90,0,30.0,145532.21016271497,128834.16222437171,274366.3723870867,False
59,59,2500,135,0,30.0,145531.60455271418,135340.18624926303,280871.79080197716,True
60,60,2500,180,0,30.0,145489.53063268928,145505.49046579358,290995.0210984828,True
61,61,2500,225,0,30.0,135258.909616093,145532.64877142507,280791.5583875181,True
62,62,2500,270,0,30.0,128832.15040965754,145532.21029314923,274364.3607028067,True
63,63,2500,315,0,30.0,135341.30396855687,145531.52335982816,280872.827328385,True
64,64,3000,0,0,30.0,145523.41897869052,145516.47577380866,291039.8947524991,False
65,65,3000,45,0,30.0,145532.49986963512,138831.9900521314,284364.48992176657,False
66,66,3000,90,0,30.0,145532.09237431566,133784.02262317244,279316.1149974881,False
67,67,3000,135,0,30.0,145531.69106181446,138846.8224343049,284378.5134961194,True
68,68,3000,180,0,30.0,145516.45513756177,145523.44838720595,291039.9035247677,True
69,69,3000,225,0,30.0,138836.96244189917,145532.51509251737,284369.4775344165,True
70,70,3000,270,0,30.0,133782.4346143499,145532.09246511784,279314.5270794678,True
71,71,3000,315,0,30.0,138848.89754323303,145531.69571635447,284380.59325958753,False
72,72,2000,0,0,45.0,135298.37978354344,135198.1237545688,270496.5035381123,False
73,73,2000,45,0,45.0,135977.44137577224,121668.83467265965,257646.27604843187,True
74,74,2000,90,0,45.0,136067.8489432278,120372.91134884451,256440.76029207231,False
75,75,2000,135,0,45.0,135974.04113189518,121670.07103736831,257644.11216926348,True
76,76,2000,180,0,45.0,135197.1178067537,135298.46578154506,270495.58358829876,True
77,77,2000,225,0,45.0,121668.70375527779,135977.38348435462,257646.08723963238,True
