,i,distance,angle,mean of wind direction,variance of wind direction,flexible farm base power,fixed farm base power,total farm base power,overlap_flag
31,31,2000,315,0,15.0,119826.78537360852,148149.0801092722,267975.86548288073,True
32,32,2500,0,0,15.0,135621.94494245618,147633.6868651801,283255.63180763624,False
33,33,2500,45,0,15.0,136098.02933477663,137480.91386946762,273578.94320424425,True
34,34,2500,90,0,15.0,136097.54862878137,125468.68856854517,261566.23719732653,False
35,35,2500,135,0,15.0,136098.5055506202,137490.4646536322,273588.97020425246,True
36,36,2500,180,0,15.0,135609.98764041424,147636.03486596936,283246.02250638366,True
37,37,2500,225,0,15.0,126470.16302071868,148149.0974638159,274619.2604845346,True
38,38,2500,270,0,15.0,116184.47783212301,148149.0919807255,264333.5698128486,True
39,39,2500,315,0,15.0,126496.7555565534,148149.0860938559,274645.8416504093,True
40,40,3000,0,0,15.0,136078.90912677176,148127.99891979306,284206.90804656484,False
41,41,3000,45,0,15.0,136098.06396827614,142956.09141226526,279054.15538054146,False
42,42,3000,90,0,15.0,136098.43412382793,131032.14349176234,267130.57761559024,False
43,43,3000,135,0,15.0,136098.39715552,142983.11350750815,279081.5106630282,True
44,44,3000,180,0,15.0,136080.46567529644,148128.1955643958,284208.66123969224,True
45,45,3000,225,0,15.0,131769.50842349193,148149.09525140122,279918.6036748932,True
46,46,3000,270,0,15.0,120635.35376452644,148149.09201577355,268784.4457803,True
47,47,3000,315,0,15.0,131788.6176787703,148149.0886596496,279937.7063384199,False
48,48,2000,0,0,30.0,133893.4667446125,140598.38250522863,274491.8492498411,False
49,49,2000,45,0,30.0,137829.472716833,126854.09131246086,264683.5640292939,True
50,50,2000,90,0,30.0,137836.70418692846,121591.16957977448,259427.87376670295,False
51,51,2000,135,0,30.0,137829.24197674292,126911.26886653395,264740.51084327686,True
52,52,2000,180,0,30.0,133878.73030443085,140606.47346166216,274485.20376609307,True
53,53,2000,225,0,30.0,121150.73572336129,145528.23850564563,266678.9742290069,True
54,54,2000,270,0,30.0,116198.5715663849,145532.0965566208,261730.6681230057,True
55,55,2000,315,0,30.0,121232.18625605757,145523.89508780238,266756.08134385996,True
56,56,2500,0,0,30.0,136218.5794681534,143573.20775387718,279791.7872220306,False
57,57,2500,45,0,30.0,137834.4622737766,134215.5501579207,272050.0124316973,True
58,58,2500,90,0,30.0,137835.83699013042,127817.37622425766,265653.21321438806,False
59,59,2500,135,0,30.0,137834.4724432463,134229.73718713448,272064.2096303808,True
60,60,2500,180,0,30.0,136204.06584537998,143583.67802600752,279787.7438713875,True
61,61,2500,225,0,30.0,127899.74413590581,145531.41729338403,273431.16142928984,True
62,62,2500,270,0,30.0,122481.20905364478,145532.19907479917,268013.408128444,True
63,63,2500,315,0,30.0,127920.56149027054,145529.34447666258,273449.9059669331,True
64,64,3000,0,0,30.0,137336.15417999437,144873.76486419304,282209.91904418735,False
65,65,3000,45,0,30.0,137835.1350308359,138747.1657393116,276582.30077014747,False
66,66,3000,90,0,30.0,137836.7859492427,132904.17196793813,270740.9579171808,False
67,67,3000,135,0,30.0,137835.75725546438,138767.9525300587,276603.70978552307,True
