,i,distance,angle,mean of wind direction,variance of wind direction,flexible farm base power,fixed farm base power,total farm base power,overlap_flag
23,23,2200.0,90,0,30.0,137836.78031316595,124624.38119716017,262461.1615103261,False
24,24,2400.0,90,0,30.0,137836.77408431782,126712.63748323727,264549.41156755504,False
25,25,2600.0,90,0,30.0,137836.24325931424,129032.81968629047,266869.06294560473,False
26,26,2800.0,90,0,30.0,137836.09132350204,131092.27868883967,268928.37001234165,False
27,27,3000.0,90,0,30.0,137836.7859492427,132904.17196793813,270740.9579171808,False
28,28,3200.0,90,0,30.0,137836.18027591083,134222.9796486448,272059.1599245556,False
29,29,3400.0,90,0,30.0,137836.8302635623,135192.6106376498,273029.4409012121,False
30,30,3600.0,90,0,30.0,137836.74978101518,136257.03618389106,274093.7859649063,False
31,31,3800.0,90,0,30.0,137836.64175792792,137211.6087764001,275048.250534328,False
32,32,4000.0,90,0,30.0,137836.00657268564,138078.26174470974,275914.2683173954,False
33,33,2000.0,90,0,45.0,137657.34223101407,116932.9293880923,254590.27161910638,False
34,34,2200.0,90,0,45.0,137691.11745714926,119679.71668100347,257370.8341381527,False
35,35,2400.0,90,0,45.0,137711.30369846697,121564.53093619845,259275.83463466543,False
36,36,2600.0,90,0,45.0,137723.63038332242,123533.97189608334,261257.60227940575,False
37,37,2800.0,90,0,45.0,137732.8914536123,125235.66136358102,262968.5528171933,False
38,38,3000.0,90,0,45.0,137739.721678159,126695.00457217374,264434.7262503327,False
39,39,3200.0,90,0,45.0,137744.0322356641,127781.05300917699,265525.0852448411,False
40,40,3400.0,90,0,45.0,137747.05232330083,128562.21599423111,266309.26831753197,False
41,41,3600.0,90,0,45.0,137749.48029912397,129397.72724499974,267147.20754412364,False
42,42,3800.0,90,0,45.0,137750.92693282655,130125.83057766347,267876.75751049,False
43,43,4000.0,90,0,45.0,137751.23997551273,130779.88428400258,268531.1242595153,False
44,44,2000.0,90,0,60.0,136594.40434432335,112849.21379623393,249443.61814055732,False
45,45,2200.0,90,0,60.0,136760.94043527046,115211.6125043697,251972.5529396401,False
46,46,2400.0,90,0,60.0,136870.1274572255,116828.15347081538,253698.28092804088,False
47,47,2600.0,90,0,60.0,136948.65956305436,118469.04513367776,255417.7046967321,False
48,48,2800.0,90,0,60.0,137011.24738168658,119868.09094839297,256879.33833007954,False
49,49,3000.0,90,0,60.0,137055.83631050034,121053.25694098917,258109.0932514895,False
50,50,3200.0,90,0,60.0,137094.24972479008,121940.70352017698,259034.95324496704,False
51,51,3400.0,90,0,60.0,137113.28622181347,122573.47019424985,259686.7564160633,False
52,52,3600.0,90,0,60.0,137137.93066507456,123242.8670527135,260380.79771778808,False
53,53,3800.0,90,0,60.0,137155.90182807186,123819.71926214389,260975.6210902157,False
54,54,4000.0,90,0,60.0,137168.50990563713,124335.30049492799,261503.81040056513,False
55,55,2000.0,90,0,75.0,135432.9261622464,111595.81944553158,247028.745607778,False
56,56,2200.0,90,0,75.0,135781.72168825302,113646.79145377997,249428.51314203299,False
57,57,2400.0,90,0,75.0,136016.65798668328,115047.63820339392,251064.2961900772,False
58,58,2600.0,90,0,75.0,136196.40524542003,116448.65544438985,252645.06068980988,False
59,59,2800.0,90,0,75.0,136343.30496230425,117634.66869701383,253977.97365931806,False
60,60,3000.0,90,0,75.0,136450.64104126007,118633.12601754145,255083.7670588015,False
61,61,3200.0,90,0,75.0,136547.63379980804,119382.55996075062,255930.19376055864,False
62,62,3400.0,90,0,75.0,136594.22598385665,119914.65704677097,256508.88303062762,False
63,63,3600.0,90,0,75.0,136660.74667417535,120474.50650678812,257135.2531809635,False
64,64,3800.0,90,0,75.0,136711.81367346557,120954.38364444995,257666.19731791547,False
65,65,4000.0,90,0,75.0,136749.8080447916,121382.16103423925,258131.96907903088,False
66,66,2000.0,90,0,90.0,134419.99626132566,111737.7366838836,246157.73294520925,False
67,67,2200.0,90,0,90.0,134934.70017018684,113568.18111688245,248502.88128706926,False
68,68,2400.0,90,0,90.0,135285.88130511992,114816.9263647282,250102.80766984812,False
69,69,2600.0,90,0,90.0,135563.65830586382,116055.33328996722,251618.99159583106,False
70,70,2800.0,90,0,90.0,135793.10374139753,117099.3026012537,252892.40634265126,False
71,71,3000.0,90,0,90.0,135962.58797860672,117975.09413847489,253937.6821170816,False
72,72,3200.0,90,0,90.0,136118.69340798465,118633.2183748368,254751.91178282144,False
