,distance,variance of wind direction,flexible farm base power,flexible farm opt power,flexible_percent_gain,fixed farm base power,fixed farm opt power,fixed_percent_gain,total farm base power,total farm opt power,total_percent_gain,overlap_flag,optimal position
13,2400.0,30.0,131986.9696587568,137252.7006714139,3.9895839917162235,136672.22970199937,135455.85923158855,-0.8899909462683112,268659.1993607562,272708.55990300246,1.5072480495293838,False,"[[[0.0, 222.22222222222223, 444.44444444444446, 666.6666666666667, 888.8888888888889, 1111.111111111111, 1333.3333333333335, 1555.5555555555557, 1777.7777777777778, 2000.0, 2.243379459759953e-13, 2.3291408978572884e-13, 2.958002155612835e-13, 759.8277790782602, 584.4623305259246, 1394.1005027094645, 955.1114956379961, 1999.9728134155075, 2000.0, 2000.0000000000002], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2400.0, 3662.5076686179514, 4400.0, 3206.1714873155042, 2400.0, 2400.0, 4399.999999999999, 3542.604115099289, 2400.0000000000005, 4400.0]]]"
14,2600.0,30.0,132823.35983765792,136890.56168374605,3.0621133594717342,137056.9900024672,136870.21190938592,-0.13627768498193749,269880.3498401251,273760.773593132,1.437831155660492,False,"[[[0.0, 222.22222222222223, 444.44444444444446, 666.6666666666667, 888.8888888888889, 1111.111111111111, 1333.3333333333335, 1555.5555555555557, 1777.7777777777778, 2000.0, 1.602205871505892e-13, 2.1835923452002944e-13, 1.5276260695167904e-13, 365.96627651777123, 697.6237832794898, 1236.4091797419971, 2000.0000000000002, 1246.2448026862412, 1999.9999999758097, 2000.0000000000002], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3734.638067950693, 4600.0, 2600.0, 3079.002649334475, 4600.0, 4205.852352837453, 4599.997065658989, 2600.0, 3675.7495514919588, 2600.0]]]"
15,2800.0,30.0,131012.42925623334,136513.32263725245,4.198756875395764,137123.29043339414,137609.70678187304,0.3547291980388793,268135.7196896275,274123.02941912547,2.232939996367649,False,"[[[0.0, 222.22222222222223, 444.44444444444446, 666.6666666666667, 888.8888888888889, 1111.111111111111, 1333.3333333333335, 1555.5555555555557, 1777.7777777777778, 2000.0, 1.7145055188062946e-13, 1.7145060391218545e-13, 3.5816961368763416e-13, 1005.0291339807563, 550.765259663187, 935.7144212138506, 1999.999999999999, 1515.2288858864547, 2000.0000000000002, 2000.0000000000002], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2800.000000000001, 4800.0, 3679.398282508733, 3696.178676289568, 4591.312408202723, 2800.0, 2800.0, 4253.483249074388, 3701.706464491459, 4800.0]]]"
16,3000.0,30.0,133706.9889707914,138319.43546702023,3.4496674644557532,138443.2450037441,137729.4559928553,-0.5155824040887489,272150.2339745355,276048.89145987557,1.4325387226030717,False,"[[[0.0, 222.22222222222223, 444.44444444444446, 666.6666666666667, 888.8888888888889, 1111.111111111111, 1333.3333333333335, 1555.5555555555557, 1777.7777777777778, 2000.0, 1.936415349794855e-13, 1.9821266693617552e-13, 1.9204376717443938e-13, 654.4820664851904, 1010.5937334799765, 1328.4831661756298, 697.3955433802604, 1373.8755510843307, 2000.0000000000002, 2000.0000000000002], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5000.0, 4004.5510647989768, 3000.0, 5000.0, 3982.4700269131613, 5000.0, 3000.0, 3000.0, 3000.0, 5000.0]]]"
17,3200.0,30.0,132059.53744575827,138278.63326575348,4.7093121332108465,139302.2206307881,138692.20343684638,-0.4379091669748269,271361.7580765463,276970.83670259983,2.067011455781954,False,"[[[0.0, 222.22222222222223, 444.44444444444446, 666.6666666666667, 888.8888888888889, 1111.111111111111, 1333.3333333333335, 1555.5555555555557, 1777.7777777777778, 2000.0, 2.1463533540124732e-13, 666.6401047700068, 1.963675792229057e-13, 1.9594348786357651e-13, 661.0825139718779, 1347.145386738667, 1334.5832712395766, 1332.7246449876882, 2000.0000000000002, 2000.0000000000002], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5200.0, 5200.0, 4196.835740206274, 3200.0, 3200.0, 4176.704309555106, 3200.0000000000023, 5200.0, 3200.0, 5199.999999999999]]]"
18,3400.0,30.0,130387.4289471636,136102.35292125825,4.383032950523541,139965.77519312772,139658.31612255244,-0.21966732235151024,270353.2041402913,275760.6690438107,2.000148258170204,False,"[[[0.0, 222.22222222222223, 444.44444444444446, 666.6666666666667, 888.8888888888889, 1111.111111111111, 1333.3333333333335, 1555.5555555555557, 1777.7777777777778, 2000.0, 2.2476857398343142e-13, 0.6807264534392112, 1.8121316590528384e-07, 776.3810826607264, 875.927435958789, 952.3321050673587, 1416.1173599830404, 1996.5052628568556, 1968.687147962234, 1999.9970953247769], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3400.0, 4250.292545226906, 5400.0, 3400.0, 4722.091399618707, 5400.0, 4348.006098952612, 5399.997262797212, 3400.0, 3989.998385654104]]]"
19,3600.0,30.0,131155.3367583741,137815.89008728936,5.078370040851578,140754.71517010115,140005.14044138222,-0.5325396934753295,271910.0519284752,277821.0305286715,2.173872778249171,False,"[[[0.0, 222.22222222222223, 444.44444444444446, 666.6666666666667, 888.8888888888889, 1111.111111111111, 1333.3333333333335, 1555.5555555555557, 1777.7777777777778, 2000.0, 5.597665678703193e-13, 4.765981896530794e-13, 517.6726929824792, 2.8010467557151805e-13, 1282.4618994060636, 1145.7619520617982, 1999.9999999999998, 830.0169933112081, 2000.0, 2000.0000000000002], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5600.0, 4438.77368877887, 5600.0, 3600.0000000000005, 4362.431810442036, 5600.0, 4356.6052396139785, 3600.0000000000005, 5600.0, 3600.000000000001]]]"
20,3800.0,30.0,135307.67616010318,136947.03457469912,1.211578279310755,140599.02552152742,140182.27701529974,-0.29640924229867693,275906.7016816306,277129.3115899989,0.44312439709385393,False,"[[[0.0, 222.22222222222223, 444.44444444444446, 666.6666666666667, 888.8888888888889, 1111.111111111111, 1333.3333333333335, 1555.5555555555557, 1777.7777777777778, 2000.0, 4.5371916950368476e-08, 0.21422271955554625, 5.892996518910943e-13, 676.1052157818093, 1063.7575928135163, 817.0453735421337, 1353.4216700721356, 1449.7730637602829, 2000.0, 1999.8933953584176], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3800.0000000000005, 4989.11862099844, 5800.0, 3800.0000000000005, 5800.0, 4509.226107632716, 3800.0000000000005, 5102.440890803432, 5799.930472551896, 3800.0]]]"
21,2000.0,45.0,128338.93990489874,137089.20546554332,6.81809088272715,127915.26315093756,127389.35165867516,-0.41114053108879894,256254.2030558363,264478.5571242185,3.2094513847213535,False,"[[[0.0, 222.22222222222223, 444.44444444444446, 666.6666666666667, 888.8888888888889, 1111.111111111111, 1333.3333333333335, 1555.5555555555557, 1777.7777777777778, 2000.0, 1.2553875138231912e-13, 2.436127663276658e-13, 701.9043899409979, 770.2971789529081, 7.026959019430235e-13, 1161.3802077170287, 1988.0684228514424, 2000.0000000000002, 2000.0000000000002, 2000.0000000000002], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4000.0, 2000.0, 4000.0, 2000.0, 3007.876511186451, 3168.726477789862, 2000.0, 2595.012473226016, 4000.0, 3290.827667579353]]]"
22,2200.0,45.0,131025.32414796742,137138.1733733735,4.665395231919293,128888.72765908236,127994.08408073487,-0.6941208859737281,259914.0518070498,265132.2574541084,2.0076658459898797,False,"[[[0.0, 222.22222222222223, 444.44444444444446, 666.6666666666667, 888.8888888888889, 1111.111111111111, 1333.3333333333335, 1555.5555555555557, 1777.7777777777778, 2000.0, 0.0006921368634703773, 666.8627121852655, 142.82821920486856, 362.23955148545355, 0.030140251673582467, 1375.7968841206384, 1014.2601147764128, 2000.0000000000002, 2000.0000000000002, 1999.999999942925], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2200.327609875012, 2200.0, 3686.8285677849744, 3104.9984348534263, 4200.0, 2200.0, 4200.0, 2200.0, 4200.0, 3265.2871030486895]]]"
