,i,distance,angle,mean of wind direction,variance of wind direction,flexible farm base power,flexible farm opt power,flexible_percent_gain,fixed farm base power,fixed farm opt power,fixed_percent_gain,total farm base power,total farm opt power,total_percent_gain,overlap_flag,optimal position
398,146,2000,270,0,30.0,107841.94222639469,119625.43318548724,10.926630878323056,145531.92320536505,145532.2044709421,0.0001932672714305748,253373.8654317597,265157.6376564293,4.65074493953414,True,"[[2000.0, 2222.222222222222, 2444.4444444444443, 2666.666666666667, 2888.8888888888887, 3111.1111111111113, 3333.3333333333335, 3555.5555555555557, 3777.777777777778, 4000.0, 1999.9999999999995, 1999.9999999999995, 1999.9999999999995, 2516.5310874389556, 2979.6216031736103, 2993.950412353288, 3350.1238160352696, 3447.2251152695044, 3999.9999999999995, 3999.9999999999995], [3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 2.6566475287699965e-14, 1996.3985758802178, 1027.180025722264, 9.121820166792815e-16, 558.1568272526933, 1802.03420356431, 1.2921454956157816e-15, 1038.5829017699364, 1.9126684266755354e-13, 1615.914259794018]]"
399,147,2500,270,0,30.0,113542.41506531094,123264.37536535443,8.562404009507198,145532.06227481048,145532.19011329283,8.784214306760302e-05,259074.4773401214,268796.5654786473,3.7526228898890817,True,"[[2500.0, 2722.222222222222, 2944.4444444444443, 3166.666666666667, 3388.8888888888887, 3611.1111111111113, 3833.3333333333335, 4055.5555555555557, 4277.777777777777, 4500.0, 2500.0, 2500.0000000000014, 3069.29376528349, 3741.546470093069, 3214.017441714766, 3413.092683097256, 3861.333060837931, 4500.0, 4499.961659581446, 4499.999999984308], [3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 7.388357200744322e-08, 1999.9999999999952, 1.7487088479849818e-12, 3.7945298157083215e-14, 753.1164352838016, 1999.9994394759988, 1350.7645190959515, 2.2264469920474114e-11, 579.7538711746381, 1999.999999893488]]"
400,148,2500,270,0,30.0,117706.55998031878,126294.547147596,7.296099018366669,145532.1531079265,145532.20786029828,3.762218217722351e-05,263238.7130882453,271826.75500789424,3.262453998082712,True,"[[2500.0, 2722.222222222222, 2944.4444444444443, 3166.666666666667, 3388.8888888888887, 3611.1111111111113, 3833.3333333333335, 4055.5555555555557, 4277.777777777777, 4500.0, 2499.9999999999995, 2499.9999999999995, 2499.9999999999995, 2948.66013453668, 3457.771810553704, 3484.36286102296, 3987.890458644192, 4500.0, 4500.0, 4500.0], [3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 2000.0, 1.7068418164338163e-13, 1117.6852813812357, 3.869265606800863e-17, 1.2004294995346277e-14, 1541.8479545338353, 1.850101787037919e-14, 2000.0, 1053.1234057547124, 8.901644854052418e-16]]"
401,149,2500,270,0,30.0,117923.05430925451,123922.66592097718,5.0877342406588415,145532.26123280913,145532.2272038212,-2.3382436056336846e-05,263455.3155420636,269454.89312479843,2.2772657178658866,True,"[[2500.0, 2722.222222222222, 2944.4444444444443, 3166.666666666667, 3388.8888888888887, 3611.1111111111113, 3833.3333333333335, 4055.5555555555557, 4277.777777777777, 4500.0, 2500.0000000141304, 2499.9999999999995, 2499.9999999999995, 2499.9999999999995, 3432.543686172948, 3262.811720711544, 4500.0, 4500.0, 3903.430880387977, 4500.0], [3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 3500.0, 2.3120422977521146e-08, 625.7311163684165, 1307.832018276257, 1999.9999999871338, 1999.9999773161696, 7.284593155521771e-08, 2000.0, 1053.1868072494763, 1.475585108398459e-07, 2.4639614656836836e-19]]"
402,150,3000,270,0,30.0,121029.99916113971,126282.49852925427,4.339832607221094,145532.05683764076,145532.11626327853,4.083336624077948e-05,266562.0559987805,271814.6147925328,1.970482548264997,True,"[[3000.0, 3222.222222222222, 3444.4444444444443, 3666.666666666667, 3888.8888888888887, 4111.111111111111, 4333.333333333334, 4555.555555555556, 4777.777777777777, 5000.0, 2999.9999999999995, 2999.9999999999995, 2999.9999999999995, 3884.3488284306964, 3678.1496671459263, 4373.358489639566, 4313.973657729063, 4765.243140751628, 5000.0, 5000.0], [4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 1919.0592007970758, 8.328056397563746e-14, 857.119826844597, 0.0, 1935.6312000168755, 936.9472354874626, 1988.2198504216028, 390.0525425594223, 2000.0, 0.0]]"
403,151,3000,270,0,30.0,118393.52375369507,127122.43788800946,7.372796971964402,145532.102771779,145532.12415304835,1.4691788923118767e-05,263925.6265254741,272654.5620410578,3.3073467061529205,True,"[[3000.0, 3222.222222222222, 3444.4444444444443, 3666.666666666667, 3888.8888888888887, 4111.111111111111, 4333.333333333334, 4555.555555555556, 4777.777777777777, 5000.0, 2999.9999999999995, 2999.9999999999995, 3541.916549752399, 3688.415823664499, 3272.4704768401725, 4458.271733068903, 4239.782462584199, 4811.284516478857, 5000.0, 5000.0], [4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 2.0484559297794656e-13, 1999.9999999999998, 2.7321268137276573e-13, 2000.0, 895.4987449279038, 1577.5235238368655, 3.210532188206631e-16, 682.9025402621174, 2.7855067772483505e-18, 2000.0]]"
404,152,3000,270,0,30.0,122403.1979293527,127828.27356350605,4.43213553724678,145532.10728705677,145532.11885531194,7.94893675711848e-06,267935.30521640944,273360.39241881797,2.0247750471057637,True,"[[3000.0, 3222.222222222222, 3444.4444444444443, 3666.666666666667, 3888.8888888888887, 4111.111111111111, 4333.333333333334, 4555.555555555556, 4777.777777777777, 5000.0, 3000.0000000002183, 3000.0, 2999.9999999999995, 4005.392130804626, 3549.930299579946, 4139.556618295887, 4276.344056190794, 4994.790190555688, 5000.0, 5000.0], [4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 4000.0, 973.5050937910754, 2.2031991771237447e-23, 2000.0, 2000.0, 1.3744605927129287e-17, 892.0514624634827, 6.995788424620658e-17, 1999.9999999973616, 2.049710887239061e-13, 838.2729688006318]]"
405,153,2000,270,0,45.0,110636.70854106583,122652.1144132935,10.860234392970776,136022.20959939333,136019.8907600196,-0.0017047505554907201,246658.91814045917,258672.00517331314,4.870323409921534,True,"[[2000.0, 2222.222222222222, 2444.4444444444443, 2666.666666666667, 2888.8888888888887, 3111.1111111111113, 3333.3333333333335, 3555.5555555555557, 3777.777777777778, 4000.0, 1999.9999999999995, 2346.6270803172274, 2000.0213182308023, 1999.9999999999995, 2947.8542106831137, 2784.6119820064973, 3442.301148754907, 3750.3737733697353, 3999.9999999999995, 3999.9999999999995], [3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 1.0865051429797674e-14, 1140.9263880397828, 1887.7101300209845, 645.266197381421, 1900.7037475654663, 1.7143918259652426e-16, 8.956417416272206e-16, 976.9970981942694, 1.9847475982511772e-15, 1949.6100595296018]]"
406,154,2000,270,0,45.0,112058.09583862114,122602.5577437215,9.409817136537649,136024.24325139995,136006.40351045327,-0.013115118687860512,248082.33909002112,258608.9612541748,4.24319691710658,True,"[[2000.0, 2222.222222222222, 2444.4444444444443, 2666.666666666667, 2888.8888888888887, 3111.1111111111113, 3333.3333333333335, 3555.5555555555557, 3777.777777777778, 4000.0, 2000.0000036572014, 2000.7413795859509, 1999.9999999999998, 2759.0226624957095, 2517.7699170795704, 3220.841102676766, 3404.42431609906, 3695.8508263233216, 3999.9999999999995, 3999.999988742192], [3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 1213.5455003746417, 1999.977708916923, 1.9326332674383625e-13, 1.1449224889753242e-12, 756.7450317989585, 1902.4300372859368, 2.8793136191289644e-13, 905.7428521118325, 3.4807090548651074e-14, 1927.8432053521576]]"
407,155,2000,270,0,45.0,119147.28729036807,122737.14282688356,3.0129561638838047,136064.64699853325,136052.41110071543,-0.008992709045102267,255211.9342889013,258789.553927599,1.4018230176680515,True,"[[2000.0, 2222.222222222222, 2444.4444444444443, 2666.666666666667, 2888.8888888888887, 3111.1111111111113, 3333.3333333333335, 3555.5555555555557, 3777.777777777778, 4000.0, 1999.9999999999995, 1999.9999999999995, 2554.0490243588647, 2554.597811936038, 2673.1901697472877, 3118.3379197574063, 3278.4807760262183, 3616.1041945718753, 3999.9999999999995, 3999.9999999999995], [3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 3000.0, 1252.592037517393, 9.151676258453835e-15, 7.074697398916055e-14, 684.4515911257698, 2000.0, 1380.303392182248, 2.304137894101467e-18, 668.1987490175949, 4.016517272030863e-16, 1516.2485137004394]]"
