,i,distance,angle,mean of wind direction,variance of wind direction,flexible farm base power,fixed farm base power,total farm base power,overlap_flag
43,43,4000.0,90,0,45.0,136099.0729918722,131289.6140917327,267388.6870836049,False
44,44,2000.0,90,0,60.0,128067.89410545035,116100.06872729394,244167.96283274432,False
45,45,2200.0,90,0,60.0,128144.51907788373,117728.93840020575,245873.4574780895,False
46,46,2400.0,90,0,60.0,128181.1504405669,118441.07593497448,246622.2263755414,False
47,47,2600.0,90,0,60.0,128229.70893675486,119815.62776441232,248045.3367011672,False
48,48,2800.0,90,0,60.0,128266.85885037229,121070.71334204539,249337.5721924177,False
49,49,3000.0,90,0,60.0,128293.85637153024,121997.98352830282,250291.83989983314,False
50,50,3200.0,90,0,60.0,128315.96324475703,122750.58167483682,251066.54491959387,False
51,51,3400.0,90,0,60.0,128333.67522211904,123375.76753327905,251709.44275539808,False
52,52,3600.0,90,0,60.0,128347.84913294773,123905.61909479921,252253.46822774695,False
53,53,3800.0,90,0,60.0,128359.8379587757,124367.36487134601,252727.2028301217,False
54,54,4000.0,90,0,60.0,128369.72103635385,124764.94607409285,253134.66711044667,False
55,55,2000.0,90,0,75.0,123701.57854778165,114534.80280070008,238236.38134848172,False
56,56,2200.0,90,0,75.0,123891.25622060214,115910.4378920199,239801.69411262203,False
57,57,2400.0,90,0,75.0,123977.752804035,116514.91116829043,240492.66397232545,False
58,58,2600.0,90,0,75.0,124108.37566245697,117659.80853456448,241768.18419702142,False
59,59,2800.0,90,0,75.0,124215.24347624142,118698.79568920317,242914.03916544458,False
60,60,3000.0,90,0,75.0,124292.8750419859,119465.8855147367,243758.76055672258,False
61,61,3200.0,90,0,75.0,124356.22525589199,120088.46081300544,244444.68606889743,False
62,62,3400.0,90,0,75.0,124407.49814653807,120604.89406434222,245012.39221088032,False
63,63,3600.0,90,0,75.0,124449.56917991373,121041.71990162977,245491.28908154345,False
64,64,3800.0,90,0,75.0,124485.60916120934,121422.08749918203,245907.69666039135,False
65,65,4000.0,90,0,75.0,124515.84104589678,121749.28621741929,246265.12726331607,False
66,66,2000.0,90,0,90.0,121486.28528001903,114416.7148173406,235903.00009735962,False
67,67,2200.0,90,0,90.0,121788.38660100025,115624.63487650196,237413.02147750225,False
68,68,2400.0,90,0,90.0,121923.69887227773,116157.01363893374,238080.7125112115,False
69,69,2600.0,90,0,90.0,122142.07571233605,117154.72461495624,239296.8003272923,False
70,70,2800.0,90,0,90.0,122326.29367267968,118056.98225550003,240383.2759281797,False
71,71,3000.0,90,0,90.0,122460.5274580685,118722.92766124023,241183.45511930878,False
72,72,3200.0,90,0,90.0,122569.92541951785,119263.38593932141,241833.31135883927,False
73,73,3400.0,90,0,90.0,122659.05648004301,119711.3640636503,242370.42054369333,False
74,74,3600.0,90,0,90.0,122732.95099888294,120089.84589918371,242822.79689806665,False
75,75,3800.0,90,0,90.0,122796.58750305616,120419.26101016325,243215.84851321936,False
76,76,4000.0,90,0,90.0,122850.37739515229,120702.49205209341,243552.86944724567,False
